DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,153,77,3,-4,6,0,0.00000,0.00000.1,0.1,2848035556,155,73,4,-3,91712127,AQI
2025-03-01 06:16:45-08:00,23.29,174.87800000000001,9.9,7.392,3.6119999999999997,423.0,22.2,32.6,0.49,0.8,0.8,0.0,0.0,1,13.98,10.02,29.71,1,-5,52.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3624
2025-03-01 06:17:45-08:00,23.29,176.77,10.520999999999999,7.623,2.172,423.0,22.2,32.5,0.37,0.93,0.93,0.0,0.0,1,13.95,2.83,30.3,1,-6,52.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1784000000000001
2025-03-01 06:18:45-08:00,23.29,176.44000000000003,10.683,8.3265,1.668,423.0,22.2,32.5,0.45,0.9,0.9,0.0,0.0,1,13.91,0.8,30.35,1,-6,51.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0536
2025-03-01 06:19:45-08:00,23.29,179.542,10.836,9.324000000000002,0.6,423.58,22.2,32.5,0.56,0.93,1.06,0.0,0.0,1,13.91,0.23,30.66,1,-6,49.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8640000000000001
2025-03-01 06:20:45-08:00,23.29,178.442,9.945,9.0405,-0.576,423.85,22.2,32.6,0.62,1.04,1.31,0.0,0.0,1,13.87,0.06,31.46,1,-6,51.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7168000000000001
2025-03-01 06:21:45-08:00,23.29,175.153,10.665,8.6625,1.9799999999999998,423.95,22.2,32.5,0.29,0.62,0.71,0.0,0.0,1,13.87,0.02,26.41,1,-4,51.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8919999999999999
2025-03-01 06:22:45-08:00,23.29,174.394,10.431000000000001,9.5235,1.692,423.98,22.2,32.5,0.1,0.62,0.65,0.0,0.0,1,13.87,0.01,27.98,1,-4,50.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8344
2025-03-01 06:23:46-08:00,23.29,174.317,10.485000000000001,8.620500000000002,1.188,423.99,22.2,32.6,0.24,0.65,0.66,0.0,0.0,1,14.02,0.0,29.84,1,-4,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7576
2025-03-01 06:24:46-08:00,23.29,176.64900000000003,9.891,8.106,1.764,424.0,22.2,32.5,0.08,0.62,0.63,0.0,0.0,1,14.09,173.28,30.61,1,-4,52.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8488
2025-03-01 06:25:46-08:00,23.29,176.89100000000002,10.638,8.557500000000001,-0.192,424.0,22.2,32.5,0.57,0.77,0.77,0.0,0.0,1,14.02,48.94,31.8,1,-5,50.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5776000000000001
2025-03-01 06:26:46-08:00,23.29,179.41,9.828,8.925,-0.756,423.6,22.2,32.5,0.49,0.82,0.82,0.0,0.0,1,13.98,13.82,30.9,1,-6,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5048
2025-03-01 06:27:46-08:00,23.29,177.69400000000002,10.701,8.463000000000001,1.296,423.21,22.2,32.5,0.65,1.06,1.06,0.0,0.0,1,13.95,3.9,27.71,1,-5,50.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1072000000000002
2025-03-01 06:28:47-08:00,23.29,177.76000000000002,11.16,9.66,-0.336,423.19,22.2,32.5,0.22,0.9,0.9,0.0,0.0,1,13.95,1.1,27.81,1,-5,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6528
2025-03-01 06:29:47-08:00,23.29,177.859,10.368,9.5655,-0.072,423.07,22.2,32.6,0.07,0.51,0.62,0.0,0.0,1,13.91,0.31,35.41,1,-4,50.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3936
2025-03-01 06:30:47-08:00,23.29,179.52,10.179,8.232,1.008,423.23,22.2,32.5,0.15,0.64,0.68,0.0,0.0,1,13.91,0.09,27.99,1,-5,51.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7136
2025-03-01 06:31:48-08:00,23.29,181.15900000000002,10.845,10.1325,-0.132,423.29,22.2,32.5,0.12,0.52,0.53,0.0,0.0,1,13.87,0.02,28.2,1,-6,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.38960000000000006
2025-03-01 06:32:48-08:00,23.29,178.94800000000004,10.224,9.387,1.152,423.1,22.2,32.5,0.06,0.4,0.41,0.0,0.0,1,13.87,0.01,30.21,1,-5,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5504
2025-03-01 06:33:48-08:00,23.29,178.761,10.152,8.2845,0.588,423.04,22.2,32.5,0.16,0.59,0.59,0.0,0.0,1,13.84,0.0,28.64,1,-4,51.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5896
2025-03-01 06:34:48-08:00,23.28,182.21500000000003,9.666,8.904000000000002,0.108,423.01,22.2,32.5,0.3,0.89,0.89,0.0,0.0,1,14.16,220.02,33.1,1,-6,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7336
2025-03-01 06:35:48-08:00,23.27,179.476,9.936,8.9985,-1.512,423.0,22.2,32.5,0.39,0.81,0.81,0.0,0.0,1,14.02,62.14,31.85,1,-5,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.34560000000000013
