DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,83,46,2,-1,3910151013,3,2341516188,AQI
2025-03-17 18:51:04-07:00,22.09,265.386,10.737,12.915000000000001,14.28,450.14,21.2,29.4,4.51,6.26,6.4,29.0,1,2.0,STAT,,,,7.864
2025-03-17 18:51:59-07:00,22.09,259.237,10.026000000000002,12.621,15.972,450.59,21.2,29.4,5.19,7.07,7.58,30.0,1,2.0,STAT,,,,8.8504
2025-03-17 18:52:59-07:00,22.09,259.314,10.098,11.9175,15.335999999999999,450.86,21.2,29.4,5.27,7.38,7.82,30.0,2,2.0,STAT,,,,8.9712
2025-03-17 18:53:59-07:00,22.09,257.675,10.395000000000001,13.3035,14.196,450.79,21.2,29.4,5.62,7.47,7.72,30.0,2,2.0,STAT,,,,8.8152
2025-03-17 18:54:59-07:00,22.09,255.728,10.944,13.629000000000001,13.284,450.32,21.2,29.4,5.42,7.07,7.33,29.0,1,2.0,STAT,,,,8.312800000000001
2025-03-17 18:56:00-07:00,22.09,256.762,11.700000000000001,12.9465,15.803999999999998,450.29,21.2,29.4,5.47,7.42,7.51,28.0,1,2.0,STAT,,,,9.0968
2025-03-17 18:57:00-07:00,22.09,235.84000000000003,10.719000000000001,12.4845,16.104,450.39,21.2,29.4,6.04,8.13,8.35,28.0,2,2.0,STAT,,,,9.724800000000002
2025-03-17 18:58:00-07:00,22.09,264.473,9.999,11.802000000000001,16.932,450.14,21.2,29.4,6.06,8.03,8.28,30.0,1,2.0,STAT,,,,9.8104
2025-03-17 18:59:00-07:00,22.09,261.75600000000003,9.711,12.852,14.712,450.05,21.2,29.3,5.83,8.07,8.43,29.0,1,2.0,STAT,,,,9.3984
2025-03-17 19:00:01-07:00,22.1,264.40700000000004,10.071,12.6105,14.136,450.02,21.3,29.4,5.82,8.15,8.31,29.0,1,2.0,STAT,,,,9.3472
2025-03-17 19:01:01-07:00,22.13,267.80600000000004,10.863000000000001,13.3665,15.192,450.55,21.3,29.5,5.6,7.72,7.77,28.0,1,3.0,STAT,,,,9.214400000000001
2025-03-17 19:02:01-07:00,22.15,268.004,10.602,13.440000000000001,14.892,453.49,21.3,29.5,5.77,7.89,7.9,28.0,1,2.0,STAT,,,,9.2904
2025-03-17 19:03:01-07:00,22.17,265.386,11.016,13.923,13.272,460.12,21.3,29.5,5.88,7.99,7.99,27.0,1,2.0,STAT,,,,9.0464
2025-03-17 19:04:02-07:00,22.17,254.04500000000002,10.575000000000001,13.261500000000002,15.288,463.28,21.3,29.5,6.33,8.59,8.59,28.0,1,2.0,STAT,,,,9.9296
2025-03-17 19:05:02-07:00,22.18,244.893,11.898000000000001,11.980500000000001,17.232,463.56,21.3,29.5,6.3,8.59,8.85,27.0,2,3.0,STAT,,,,10.3184
2025-03-17 19:06:02-07:00,22.18,273.141,11.223,13.524000000000001,14.772,462.7,21.3,29.4,5.97,7.89,8.15,28.0,1,3.0,STAT,,,,9.2664
2025-03-17 19:07:02-07:00,22.19,256.97100000000006,11.934,12.9045,16.068,461.19,21.3,29.4,6.21,8.39,8.65,27.0,1,3.0,STAT,,,,9.925600000000001
2025-03-17 19:08:02-07:00,22.19,264.33000000000004,11.655,12.621,14.627999999999998,460.01,21.3,29.4,6.52,8.52,8.81,28.0,1,2.0,STAT,,,,9.7416
2025-03-17 19:09:02-07:00,22.19,259.91900000000004,10.278,12.9045,14.892,459.46,21.3,29.5,5.64,8.09,8.19,30.0,2,2.0,STAT,,,,9.4504
2025-03-17 19:10:03-07:00,22.19,252.54900000000004,10.926,11.371500000000001,17.195999999999998,459.39,21.3,29.5,6.11,8.86,8.89,29.0,2,2.0,STAT,,,,10.5272
