DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,275,78,0,-11,6,0.1,0.00000,0.00000.1,0.2,758574998,148,72,2,-5,1320373942,AQI
2025-02-23 04:25:40-08:00,22.29,177.144,10.503,8.0955,-0.48,417.0,21.4,36.4,0.0,0.3,0.46,0.0,0.0,1,13.95,6.93,28.88,1,-9,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.144
2025-02-23 04:26:40-08:00,22.29,174.24,10.125,6.909000000000001,0.024,417.0,21.5,36.5,0.0,0.23,0.31,0.0,0.0,1,13.95,1.96,29.97,1,-7,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.18880000000000002
2025-02-23 04:27:43-08:00,22.29,177.485,11.547,6.531,1.896,416.46,21.4,36.5,0.0,0.07,0.19,0.0,0.0,1,13.91,0.55,29.82,1,-9,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.4352
2025-02-23 04:28:41-08:00,22.29,175.285,11.916,7.7175,0.264,416.16,21.4,36.4,0.0,0.02,0.06,0.0,0.0,1,13.91,0.16,34.08,1,-8,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0688
2025-02-23 04:29:41-08:00,22.29,175.494,11.277,7.476000000000001,-0.24,416.06,21.4,36.4,0.0,0.14,0.16,0.0,0.0,1,13.87,0.04,30.15,1,-8,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.06400000000000002
2025-02-23 04:30:41-08:00,22.29,173.63500000000002,10.665,8.421,-2.352,415.94,21.4,36.4,0.0,0.36,0.36,0.0,0.0,1,13.87,0.01,30.3,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.1824
2025-02-23 04:31:41-08:00,22.29,176.38500000000002,10.665,6.888,0.54,415.33,21.4,36.4,0.0,0.15,0.15,0.0,0.0,1,13.87,0.0,29.23,1,-9,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.228
2025-02-23 04:32:41-08:00,22.29,173.34900000000002,10.143,7.917000000000001,-0.048,415.12,21.4,36.4,0.0,0.35,0.35,0.0,0.0,1,14.19,349.39,32.76,1,-7,50.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.2704
2025-02-23 04:33:43-08:00,22.29,175.78000000000003,10.323,7.266,-1.464,414.46,21.4,36.4,0.0,0.71,0.71,0.0,0.0,1,14.02,106.07,35.32,1,-9,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.27519999999999994
2025-02-23 04:34:43-08:00,22.29,177.122,10.791,7.224,-0.612,414.66,21.4,36.4,0.0,0.54,0.87,0.0,0.0,1,13.98,29.96,33.86,1,-9,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.30960000000000004
