DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-21 00:05:55-08:00,23.19,179.53100000000003,9.738000000000001,10.4475,1.704,485.78,22.3,30.3,0.0,0.26,0.45,0.0,0.0,1,13.91,0.08,30.85,1,-2,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5488
2025-02-21 00:06:55-08:00,23.19,176.616,9.423,10.709999999999999,1.464,485.32,22.2,30.3,0.16,0.28,0.35,0.0,0.0,1,13.87,0.02,30.26,1,-1,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5168
2025-02-21 00:07:55-08:00,23.19,177.584,9.207,10.773,3.276,484.53,22.3,30.3,0.05,0.4,0.43,0.0,0.0,1,13.87,0.01,28.56,1,-1,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9752000000000001
2025-02-21 00:08:55-08:00,23.19,182.644,9.837,10.185,3.324,483.82,22.3,30.3,0.02,0.31,0.32,0.0,0.0,1,13.84,0.0,29.77,1,-3,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9128000000000001
2025-02-21 00:09:56-08:00,23.2,180.37800000000001,9.864,8.788499999999999,5.904,483.29,22.3,30.2,0.01,0.62,0.66,0.0,0.0,1,14.12,229.04,32.92,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.6768
2025-02-21 00:10:51-08:00,23.2,181.775,10.179,9.4815,3.9119999999999995,483.11,22.3,30.2,0.0,0.65,0.71,0.0,0.0,1,14.02,71.87,29.71,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3024
2025-02-21 00:11:51-08:00,23.21,183.469,9.765,9.345,4.464,483.04,22.3,30.2,0.0,0.55,0.71,0.0,0.0,1,13.98,20.3,30.3,1,-5,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3328000000000002
2025-02-21 00:12:51-08:00,23.22,180.675,9.009,8.505,6.06,482.72,22.3,30.1,0.0,0.57,0.91,0.0,0.0,1,13.95,5.73,26.46,1,-3,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.668
2025-02-21 00:13:52-08:00,23.24,182.10500000000002,10.754999999999999,8.673,4.2,481.62,22.3,30.2,0.05,0.45,0.56,0.0,0.0,1,13.95,1.62,26.75,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2000000000000002
2025-02-21 00:14:52-08:00,23.26,179.59700000000004,9.395999999999999,9.2505,3.192,479.92,22.3,30.1,0.13,0.34,0.53,0.0,0.0,1,13.91,0.46,33.44,1,-2,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9104000000000001
2025-02-21 00:15:52-08:00,23.26,178.574,10.224,8.966999999999999,4.236,479.32,22.3,30.2,0.04,0.66,0.72,0.0,0.0,1,13.91,0.13,31.08,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3752
2025-02-21 00:16:52-08:00,23.26,181.786,10.089,8.809500000000002,4.704,479.2,22.3,30.4,0.01,0.85,0.87,0.0,0.0,1,13.87,0.04,26.84,1,-4,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.6208
2025-02-21 00:17:52-08:00,23.27,177.529,10.44,8.2215,4.788,480.67,22.3,30.2,0.04,0.72,0.73,0.0,0.0,1,13.87,0.01,28.08,1,-2,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.5336
2025-02-21 00:18:52-08:00,23.27,178.15600000000003,10.494,7.896,4.548,481.53,22.3,30.3,0.06,0.32,0.32,0.0,0.0,1,13.87,0.0,30.12,1,-1,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1656
2025-02-21 00:19:51-08:00,23.27,178.68400000000003,10.665,9.8595,2.5799999999999996,482.34,22.3,30.2,0.02,0.37,0.37,0.0,0.0,1,14.19,276.41,31.97,1,-2,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8119999999999998
2025-02-21 00:20:52-08:00,23.28,180.14700000000002,9.270000000000001,9.491999999999999,3.9359999999999995,482.77,22.3,30.2,0.3,0.73,0.73,0.0,0.0,1,14.05,86.37,29.08,1,-4,59.0,0.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3712
2025-02-21 00:21:52-08:00,23.29,179.20100000000002,10.134,9.408000000000001,3.384,482.92,22.3,30.3,0.29,0.52,1.14,0.0,0.0,1,13.98,24.39,29.14,1,-3,58.0,1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0928
2025-02-21 00:22:52-08:00,23.29,177.08900000000003,10.107000000000001,9.2295,4.992,482.48,22.3,30.3,0.1,0.51,0.71,0.0,0.0,1,13.98,6.89,29.03,1,-1,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4064
2025-02-21 00:23:52-08:00,23.29,179.04700000000003,9.045000000000002,8.599499999999999,6.263999999999999,482.47,22.3,30.2,0.03,0.46,1.27,0.0,0.0,1,13.95,1.95,29.36,1,-3,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.6208
2025-02-21 00:24:53-08:00,23.29,180.235,9.612,9.240000000000002,4.308,482.16,22.3,30.2,0.01,0.42,0.69,0.0,0.0,1,13.91,0.55,45.1,1,-4,59.0,1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1976
2025-02-21 00:25:53-08:00,23.29,176.286,10.341000000000001,9.2925,3.372,481.76,22.3,30.2,0.0,0.24,0.32,0.0,0.0,1,13.91,0.16,34.89,1,-1,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8664000000000001
2025-02-21 00:26:54-08:00,23.29,179.14600000000004,10.062,9.880500000000001,2.808,481.37,22.3,30.2,0.05,0.48,0.51,0.0,0.0,1,13.87,0.04,28.24,1,-3,59.0,1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9456
2025-02-21 00:27:54-08:00,23.29,177.55100000000002,11.232000000000001,9.429,2.544,481.13,22.3,30.2,0.04,0.68,0.72,0.0,0.0,1,13.87,0.01,27.54,1,-2,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0528
