DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 11:14:38-07:00,22.29,291.48900000000003,10.044,10.143,19.068,401.99,21.3,27.2,4.58,6.5,6.51,29.0,2.0,4.0,,,,,,,9.0136
2025-03-15 11:15:38-07:00,22.29,292.16,11.034,10.689,17.052,402.0,21.2,27.2,4.27,6.06,6.06,29.0,2.0,4.0,,,,,,,8.2584
2025-03-15 11:16:38-07:00,22.29,263.648,10.746,9.3345,16.968,402.0,21.2,27.2,4.52,6.47,6.58,30.0,3.0,3.0,,,,,,,8.569600000000001
2025-03-15 11:17:38-07:00,22.29,293.15000000000003,9.711,10.9515,14.879999999999999,402.0,21.2,27.2,4.46,6.42,6.48,30.0,2.0,3.0,,,,,,,8.112
2025-03-15 11:18:37-07:00,22.29,299.42,10.232999999999999,10.4265,16.247999999999998,402.0,21.2,27.2,4.72,6.9,6.91,30.0,2.0,3.0,,,,,,,8.7696
2025-03-15 11:19:38-07:00,22.29,299.53000000000003,10.728,10.458000000000002,16.056,402.0,21.2,27.3,4.73,6.87,6.87,29.0,2.0,3.0,,,,,,,8.7072
2025-03-15 11:20:38-07:00,22.29,300.97100000000006,10.593,11.823,15.0,401.87,21.2,27.3,4.88,6.66,6.66,29.0,2.0,3.0,,,,,,,8.328
2025-03-15 11:21:38-07:00,22.29,305.052,12.267000000000001,11.025,15.072,401.52,21.2,27.3,4.9,6.54,7.1,29.0,2.0,3.0,,,,,,,8.246400000000001
2025-03-15 11:22:38-07:00,22.29,302.96200000000005,10.971,10.9725,16.404,401.83,21.2,27.3,4.5,6.07,6.44,28.0,1.0,4.0,,,,,,,8.136800000000001
2025-03-15 11:23:38-07:00,22.28,298.80400000000003,10.773000000000001,10.059000000000001,17.099999999999998,401.94,21.2,27.2,4.57,6.39,6.5,28.0,2.0,3.0,,,,,,,8.532
2025-03-15 11:24:38-07:00,22.28,301.89500000000004,9.414000000000001,10.6575,17.076,401.98,21.2,27.3,4.47,6.17,6.42,30.0,2.0,4.0,,,,,,,8.3512
2025-03-15 11:25:34-07:00,22.28,303.78700000000003,9.954,11.046,16.247999999999998,401.99,21.2,27.3,4.36,6.33,6.42,30.0,2.0,4.0,,,,,,,8.3136
2025-03-15 11:26:34-07:00,22.28,303.00600000000003,11.088000000000001,12.1905,15.072,402.0,21.2,27.3,4.39,6.31,6.43,28.0,1.0,4.0,,,,,,,8.0624
2025-03-15 11:27:34-07:00,22.28,300.993,10.998000000000001,11.13,15.611999999999998,402.0,21.2,27.3,4.92,7.11,7.25,28.0,2.0,3.0,,,,,,,8.810400000000001
2025-03-15 11:28:39-07:00,22.28,300.531,11.178,11.098500000000001,16.139999999999997,402.0,21.2,27.3,4.68,6.73,6.77,28.0,1.0,3.0,,,,,,,8.612
2025-03-15 11:29:35-07:00,22.29,299.42,9.405,10.9305,15.935999999999998,402.0,21.2,27.4,4.34,5.85,5.87,29.0,2.0,3.0,,,,,,,7.8671999999999995
2025-03-15 11:30:35-07:00,22.28,305.129,10.458,10.626,15.491999999999999,402.0,21.2,27.3,4.38,6.44,6.61,28.0,2.0,3.0,,,,,,,8.2504
2025-03-15 11:31:35-07:00,22.28,304.3260000000001,11.655,10.5945,16.188,402.13,21.2,27.3,4.2,6.55,6.6,26.0,2.0,3.0,,,,,,,8.4776
2025-03-15 11:32:35-07:00,22.28,297.605,10.215,10.374,15.431999999999999,402.05,21.2,27.4,4.52,6.68,7.0,27.0,2.0,3.0,,,,,,,8.4304
2025-03-15 11:33:35-07:00,22.28,293.26000000000005,11.187,10.122000000000002,17.412,402.05,21.2,27.4,4.51,6.27,6.72,28.0,2.0,3.0,,,,,,,8.4984
2025-03-15 11:34:36-07:00,22.27,300.78400000000005,11.16,10.059000000000001,17.4,401.96,21.2,27.4,4.44,6.45,7.0,29.0,1.0,3.0,,,,,,,8.64
2025-03-15 11:35:36-07:00,22.27,300.26700000000005,10.584,10.458000000000002,16.356,401.99,21.2,27.4,4.33,6.02,6.64,29.0,1.0,3.0,,,,,,,8.0872
2025-03-15 11:36:36-07:00,22.27,294.14,10.629000000000001,10.332,15.372,401.99,21.2,27.5,4.44,6.14,6.34,29.0,2.0,3.0,,,,,,,7.9864
2025-03-15 11:37:36-07:00,22.27,291.19200000000006,10.683,10.6995,15.419999999999998,401.81,21.2,27.4,4.01,5.76,5.83,29.0,2.0,3.0,,,,,,,7.691999999999999
2025-03-15 11:38:36-07:00,22.27,294.52500000000003,11.115,10.384500000000001,16.26,401.93,21.2,27.5,3.75,5.26,5.28,28.0,2.0,3.0,,,,,,,7.460000000000001
2025-03-15 11:39:37-07:00,22.27,292.40200000000004,10.566,10.059000000000001,16.872,401.98,21.2,27.5,3.77,5.07,5.08,29.0,2.0,3.0,,,,,,,7.430400000000001
2025-03-15 11:40:37-07:00,22.27,299.189,9.891,9.513000000000002,16.811999999999998,401.87,21.2,27.5,3.61,5.06,5.06,30.0,2.0,3.0,,,,,,,7.410399999999999
2025-03-15 11:41:37-07:00,22.27,285.05400000000003,10.836,9.786000000000001,16.896,401.95,21.2,27.5,4.39,5.89,6.13,28.0,2.0,3.0,,,,,,,8.0912
2025-03-15 11:42:37-07:00,22.27,300.938,10.53,10.962,15.852,401.98,21.2,27.5,3.86,5.69,5.77,28.0,1.0,3.0,,,,,,,7.7224
2025-03-15 11:43:37-07:00,22.26,308.05500000000006,11.511,10.9305,16.056,401.99,21.2,27.5,3.62,5.16,5.36,28.0,2.0,3.0,,,,,,,7.3392
