DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-05-05T09:52:29,16.58,116.38000000000001,18.675,13.986,10.692,422.83,18.8,39.4,1.52,2.51,2.55,1.7941049168981442,0.7766039442091713,0.1496754652133126,0.0737205905775161,NO2
2025-05-05T09:53:29,16.57,119.284,19.44,14.364,12.192,422.58,18.7,39.7,1.35,2.3,2.32,1.794593256891886,0.7755972401405375,0.15079077890962106,0.07361198094984145,NO2
2025-05-05T09:54:29,16.57,135.201,18.342,14.763000000000002,11.904,423.71,18.6,40.2,1.71,2.55,2.75,1.794750652249061,0.7747201197462599,0.15190659344183602,0.0733732868119041,NO2
2025-05-05T09:55:29,16.57,134.354,18.36,13.177500000000002,12.216,424.57,18.6,39.6,1.31,2.54,2.82,1.7945084814726162,0.7738967142937383,0.15304091821626814,0.07306236748999355,NO2
2025-05-05T09:56:29,16.57,143.594,17.928,12.736500000000001,12.947999999999999,423.62,18.5,39.9,1.19,2.51,2.75,1.7944825620008762,0.7728832793606512,0.15433782948324093,0.0727788911561079,NO2
2025-05-05T09:57:29,16.57,145.717,17.739,12.6105,13.476,423.22,18.5,40.1,1.23,2.21,2.76,1.794079387949403,0.7718028706921497,0.1558157054557917,0.07238142385205862,NO2
2025-05-05T09:58:29,16.57,173.8,17.001,12.075000000000001,13.031999999999998,424.72,18.5,40.0,1.07,2.02,2.5,1.7929157278173464,0.7711732970259549,0.15710297526032024,0.07172372771372487,NO2
2025-05-05T09:59:29,16.57,185.62500000000003,16.11,12.169500000000001,13.752,425.66,18.5,40.1,1.03,1.85,2.13,1.7917991021943767,0.7706997070023592,0.15832420061495187,0.07097609238268886,NO2
2025-05-05T10:00:30,16.57,194.81,15.912,10.111500000000001,16.139999999999997,426.04,18.5,39.6,1.57,2.48,2.73,1.7901356109403157,0.7696995822639184,0.1599582986649685,0.07034211907111304,NO2
2025-05-05T10:01:30,16.59,176.30800000000002,16.263,10.027500000000002,16.247999999999998,426.38,18.5,39.6,1.64,2.48,2.66,1.7889086473352402,0.7685211543408992,0.16166219721006791,0.06981664844903294,NO2
2025-05-05T10:02:30,16.63,164.02100000000002,16.731,9.597000000000001,17.7,427.13,18.5,39.3,1.31,2.43,2.52,1.7880110596141892,0.7668062845334769,0.16387522551730754,0.06931848994921563,NO2
2025-05-05T10:03:30,16.66,162.525,15.831,9.9855,17.676,426.59,18.5,39.2,1.1,2.01,2.04,1.7868175018481487,0.7649586126333101,0.16616058642516596,0.06888080094152398,NO2
2025-05-05T10:04:30,16.67,156.937,15.120000000000001,9.849000000000002,17.856,426.77,18.5,38.9,1.03,2.07,2.08,1.7860154736061666,0.7631327001484308,0.16842956353057492,0.06843773632099427,NO2
2025-05-05T10:05:30,16.67,154.81400000000002,16.227,10.059000000000001,17.316,425.34,18.5,38.9,1.48,2.61,2.78,1.7855935936950758,0.7612152953296537,0.1705714981582327,0.0682132065121136,NO2
2025-05-05T10:06:30,16.68,154.29700000000003,16.641,8.7255,20.124,424.12,18.4,38.7,2.02,3.17,3.23,1.7857441264165559,0.7586597185932856,0.17315616359089026,0.06818411781582416,NO2
2025-05-05T10:07:30,16.72,168.993,16.812,9.429,18.444,423.69,18.4,38.6,2.42,3.64,3.83,1.7860603435251863,0.756636445786433,0.175277553727451,0.068086000486116,NO2
2025-05-05T10:08:31,16.74,175.868,17.046000000000003,9.6705,18.096,424.35,18.3,38.5,2.19,3.58,3.68,1.7864217682402785,0.7546641854746786,0.17729712538550765,0.06803868913981373,NO2
2025-05-05T10:09:31,16.76,177.87,15.732000000000001,9.9855,17.052,423.67,18.3,39.1,1.93,3.24,3.27,1.7865297823027377,0.7527940038518428,0.17923119915834454,0.06797479698981268,NO2
2025-05-05T10:10:31,16.76,175.57100000000003,15.975,9.408000000000001,16.247999999999998,423.15,18.3,38.8,1.34,2.82,2.95,1.7860887496464237,0.75097189897835,0.18105256133920386,0.06797553968244616,NO2
2025-05-05T10:11:31,16.77,157.234,16.128000000000004,7.539,19.152,421.61,18.2,38.2,1.2,2.66,2.91,1.7859430164687613,0.7490888901799382,0.1829664855698736,0.06794462425018824,NO2
2025-05-05T10:12:30,16.77,178.92600000000002,16.740000000000002,8.988000000000001,19.236,421.03,18.2,38.8,1.12,2.59,2.81,1.7862270419448056,0.7466931094321568,0.1854357751292127,0.06787111543863045,NO2
2025-05-05T10:13:30,16.77,171.809,16.721999999999998,10.794,18.864,422.54,18.2,39.3,1.69,2.74,2.81,1.7872539116451454,0.7444377782615427,0.18773738885058788,0.06782483288786947,NO2
2025-05-05T10:14:30,16.77,159.687,15.786,11.3505,19.5,422.99,18.1,39.6,1.74,3.17,3.19,1.7886479511169735,0.7419441347275738,0.19026204958677292,0.06779381568565326,NO2
2025-05-05T10:15:31,16.77,157.542,16.236,10.5,19.776,424.14,18.1,39.3,1.65,3.18,3.35,1.78841719660562,0.7396056171622356,0.1925350175338777,0.0678593653038867,NO2
2025-05-05T10:16:31,16.77,153.26300000000003,15.813,9.2925,20.808,424.52,18.0,39.2,1.37,3.04,3.1,1.7880932823078641,0.7372967074595111,0.1947821054325147,0.06792118710797415,NO2
2025-05-05T10:17:28,16.77,140.525,15.75,8.001000000000001,22.188,424.92,17.9,39.3,1.63,2.88,3.18,1.788141615527086,0.7345515804712403,0.19753780850593838,0.06791061102282132,NO2
2025-05-05T10:18:28,16.76,137.28,16.497,10.2585,20.447999999999997,423.43,17.9,39.8,1.34,2.68,2.8,1.7881371709849798,0.7322105037871188,0.19996320498446876,0.06782629122841244,NO2
2025-05-05T10:19:28,16.73,143.29700000000003,15.327000000000002,10.3635,20.772,422.05,17.8,40.1,1.33,2.28,2.32,1.7882116452988752,0.7296268541906309,0.20257881212050385,0.0677943336888652,NO2
2025-05-05T10:20:28,16.69,142.27400000000003,15.048,9.3765,21.671999999999997,421.37,17.8,40.3,1.19,2.35,2.49,1.787954456899046,0.7270953243029936,0.20517634610788432,0.0677283295891221,NO2
2025-05-05T10:21:28,16.68,142.054,14.597999999999999,10.416,19.512,420.33,17.7,40.3,1.27,2.59,3.15,1.7879787434075554,0.7250943501792045,0.20726273598061737,0.06764291384017805,NO2
2025-05-05T10:22:27,16.67,150.139,14.805,10.384500000000001,19.548,419.47,17.7,40.4,1.51,2.87,3.22,1.7879878946167047,0.7233488431514703,0.20925041999521396,0.06740073685331578,NO2
2025-05-05T10:23:27,16.67,141.427,14.715000000000002,10.300500000000001,19.86,418.48,17.7,40.6,1.4,2.73,2.84,1.7880387587583855,0.7215367345743594,0.21119264127571954,0.06727062414992102,NO2
2025-05-05T10:24:27,16.67,142.241,14.445,9.575999999999999,21.407999999999998,417.52,17.6,40.9,1.32,2.53,2.86,1.7882163132210351,0.719360949807037,0.2134173473733501,0.0672217028196129,NO2
2025-05-05T10:25:27,16.67,137.621,14.328,9.849000000000002,20.82,417.1,17.6,41.0,1.37,2.65,3.03,1.7882838517899606,0.7171772013416802,0.21552934985636607,0.06729344880195373,NO2
2025-05-05T10:26:28,16.67,136.554,15.012,9.954,20.063999999999997,416.39,17.6,40.8,1.15,2.8,3.23,1.7879729443212373,0.7149401558623547,0.21761775270822012,0.0674420914294251,NO2
2025-05-05T10:27:30,16.67,147.69700000000003,15.453000000000001,9.282,20.844,416.14,17.6,40.8,1.05,2.24,2.38,1.7881308886762253,0.712357767475478,0.2200939327102928,0.0675482998142292,NO2
2025-05-05T10:28:30,16.67,145.33200000000002,15.102000000000002,8.6625,21.336000000000002,416.05,17.6,40.6,1.11,2.31,2.36,1.7879868259240919,0.7098819971554325,0.22248559249274022,0.06763241035182721,NO2
2025-05-05T10:29:30,16.67,160.369,14.589,8.0955,22.38,416.23,17.6,40.7,1.22,2.28,2.37,1.7880413396913741,0.7074298063386408,0.22492236402570998,0.06764782963564925,NO2
